"country_name","report_date","num_cases","num_deaths","num_recovered","population","num_cases_100k"
"Israel","2020-04-02","6857","36","338","8655535","79.22098402929456"
"Italy","2020-04-02","115242","13915","18278","60461826","190.60291033883098"
"Jamaica","2020-04-02","47","3","2","2961167","1.5872120687553253"
"Japan","2020-04-02","2495","62","472","126476461","1.9726990937863134"
"Jordan","2020-04-02","299","5","45","10203134","2.9304721470873556"
"Kazakhstan","2020-04-02","435","3","27","18776707","2.3167001540792005"
"Kenya","2020-04-02","110","3","4","53771296","0.20457011116116672"
"South Korea","2020-04-02","9976","169","5828","51269185","19.458081886809786"
"Kosovo","2020-04-02","125","1","10",NULL,"0"
"Kuwait","2020-04-02","342","0","81","4270571","8.008296782795556"
"Kyrgyzstan","2020-04-02","116","0","5","6524195","1.7779971322132462"
"Laos","2020-04-02","10","0","0","7275560","0.1374464646020375"
"Latvia","2020-04-02","458","0","31","1886198","24.281650176704673"
"Lebanon","2020-04-02","494","16","46","6825445","7.237623334449256"
"Liberia","2020-04-02","6","0","0","5057681","0.1186314439364602"
"Libya","2020-04-02","11","1","0","6871292","0.16008634184080664"
"Liechtenstein","2020-04-02","75","0","0","38128","196.70583298363408"
"Lithuania","2020-04-02","649","9","7","2722289","23.840231511055585"
"Luxembourg","2020-04-02","2487","30","80","625978","397.2983076082546"
"MS Zaandam","2020-04-02","9","2","0",NULL,"0"
"Madagascar","2020-04-02","59","0","0","27691018","0.2130654784883676"
"Malawi","2020-04-02","3","0","0","19129952","0.015682213943871894"
"Malaysia","2020-04-02","3116","50","767","32365999","9.62738706134175"
"Maldives","2020-04-02","19","0","13","540544","3.5149775041439737"
"Mali","2020-04-02","36","3","0","20250833","0.17777046504704275"
"Malta","2020-04-02","196","0","2","441543","44.38978763110275"
"Mauritania","2020-04-02","6","1","2","4649658","0.12904174887701417"
"Mauritius","2020-04-02","169","7","0","1271768","13.288587226601079"
"Mexico","2020-04-02","1378","37","35","128932753","1.068774200454713"
"Moldova","2020-04-02","505","6","23","4033963","12.51870679032009"
"Monaco","2020-04-02","60","1","2","39242","152.8974058406809"
"Mongolia","2020-04-02","14","0","2","3278290","0.4270519081594368"
"Montenegro","2020-04-02","144","2","0","628066","22.92752672489834"
"Morocco","2020-04-02","708","44","31","36910560","1.9181502529357453"
"Mozambique","2020-04-02","10","0","0","31255435","0.03199443552777301"
"Namibia","2020-04-02","14","0","3","2540905","0.5509847869164727"
"Nepal","2020-04-02","6","0","1","29136808","0.020592509653082108"
"Netherlands","2020-04-02","14788","1341","260","17134872","86.3035335192466"
"New Zealand","2020-04-02","797","1","92","4822233","16.527612829989756"
"Nicaragua","2020-04-02","5","1","0","6624554","0.0754767792669514"
"Niger","2020-04-02","98","5","0","24206644","0.4048475286371791"
"Nigeria","2020-04-02","184","2","20","206139589","0.08925990436509505"
"North Macedonia","2020-04-02","384","11","17",NULL,"0"
"Norway","2020-04-02","5147","50","32","5421241","94.94136121231283"
"Oman","2020-04-02","231","1","57","5106626","4.523534717443573"
"Pakistan","2020-04-02","2421","34","125","220892340","1.0960090331787875"
"Panama","2020-04-02","1317","32","9","4314767","30.523085024058076"
"Papua New Guinea","2020-04-02","1","0","0","8947024","0.011176900833170895"
